countInstances;loadingTime;inferenceTime;totalTime
100237500;60.22382211685181;28.61091184616089;88.8347339630127
101250000;60.73395037651062;28.88129949569702;89.61524987220764
102262500;61.52339053153992;29.148364305496216;90.67175483703613
103275000;62.46651768684387;29.42026686668396;91.88678455352783
104287500;62.99474263191223;29.696434020996094;92.69117665290833
105300000;63.45856428146362;29.965981006622314;93.42454528808594
106312500;64.05799841880798;30.247771739959717;94.3057701587677
107325000;64.63076710700989;30.5172221660614;95.14798927307129
108337500;65.75246286392212;30.786699533462524;96.53916239738464
109350000;66.40814757347107;31.056337356567383;97.46448493003845
110362500;67.19570589065552;31.328304052352905;98.52400994300842
111375000;67.85533118247986;31.601946115493774;99.45727729797363
112387500;68.80558943748474;31.870275735855103;100.67586517333984
113400000;69.58938646316528;32.138978242874146;101.72836470603943
114412500;70.18148517608643;32.41330885887146;102.59479403495789
